name;DESCRIPTION;
373.512.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.512.81;Motor
373.512.91;Starter Panel - Cargo Hold Fan XXXX;
373.513;Cargo Hold Fan XXXX;
373.513.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.513.81;Motor
373.513.91;Starter Panel - Cargo Hold Fan XXXX;
373.514;Cargo Hold Fan XXXX;
373.514.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.514.81;Motor
373.514.91;Starter Panel - Cargo Hold Fan XXXX;
373.515;Cargo Hold Fan XXXX;
373.515.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.515.81;Motor
373.515.91;Starter Panel - Cargo Hold Fan XXXX;
373.516;Cargo Hold Fan XXXX;
373.516.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.516.81;Motor
373.516.91;Starter Panel - Cargo Hold Fan XXXX;
373.517;Cargo Hold Fan XXXX;
373.517.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.517.81;Motor
373.517.91;Starter Panel - Cargo Hold Fan XXXX;
373.518;Cargo Hold Fan XXXX;
373.518.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.518.81;Motor
373.518.91;Starter Panel - Cargo Hold Fan XXXX;
373.519;Cargo Hold Fan XXXX;
373.519.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.519.81;Motor
373.519.91;Starter Panel - Cargo Hold Fan XXXX;
373.520;Cargo Hold Fan XXXX;
373.520.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.520.81;Motor
373.520.91;Starter Panel - Cargo Hold Fan XXXX;
373.523;Cargo Hold Fan XXXX;
373.523.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.523.81;Motor
373.523.91;Starter Panel - Cargo Hold Fan XXXX;
373.524;Cargo Hold Fan XXXX;
373.524.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.524.81;Motor
373.524.91;Starter Panel - Cargo Hold Fan XXXX;
373.532;Cargo Hold Fan XXXX;
373.532.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.532.81;Motor
373.532.91;Starter Panel - Cargo Hold Fan XXXX;
373.533;Cargo Hold Fan XXXX;
373.533.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.533.81;Motor
373.533.91;Starter Panel - Cargo Hold Fan XXXX;
373.541;Cargo Hold Fan XXXX;
373.541.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.541.81;Motor
373.541.91;Starter Panel - Cargo Hold Fan XXXX;
373.542;Cargo Hold Fan XXXX;
373.542.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.542.81;Motor
373.542.91;Starter Panel - Cargo Hold Fan XXXX;
373.552;Cargo Hold Fan XXXX;
373.552.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.552.81;Motor
373.552.91;Starter Panel - Cargo Hold Fan XXXX;
373.553;Cargo Hold Fan XXXX;
373.553.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.553.81;Motor
373.553.91;Starter Panel - Cargo Hold Fan XXXX;
373.564;Cargo Hold Fan XXXX;
373.564.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.564.81;Motor
373.564.91;Starter Panel - Cargo Hold Fan XXXX;
373.567;Cargo Hold Fan XXXX;
373.567.01;Natural Ventilation Cargo Hold No 07;
373.567.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.567.81;Motor
373.567.91;Starter Panel - Cargo Hold Fan XXXX;
373.601;Cargo Hold Fan XXXX;
373.601.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.601.81;Motor
373.601.91;Starter Panel - Cargo Hold Fan XXXX;
373.602;Cargo Hold Fan XXXX;
373.602.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.602.81;Motor
373.602.91;Starter Panel - Cargo Hold Fan XXXX;
373.603;Cargo Hold Fan XXXX;
373.603.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.603.81;Motor
373.603.91;Starter Panel - Cargo Hold Fan XXXX;
373.604;Cargo Hold Fan XXXX;
373.604.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.604.81;Motor
373.604.91;Starter Panel - Cargo Hold Fan XXXX;
373.605;Cargo Hold Fan XXXX;
373.605.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.605.81;Motor
373.605.91;Starter Panel - Cargo Hold Fan XXXX;
373.606;Cargo Hold Fan XXXX;
373.606.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.606.81;Motor
373.606.91;Starter Panel - Cargo Hold Fan XXXX;
373.607;Cargo Hold Fan XXXX;
373.607.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.607.81;Motor
373.607.91;Starter Panel - Cargo Hold Fan XXXX;
373.608;Cargo Hold Fan XXXX;
373.608.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.608.81;Motor
373.608.91;Starter Panel - Cargo Hold Fan XXXX;
373.609;Cargo Hold Fan XXXX;
373.609.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.609.81;Motor
373.609.91;Starter Panel - Cargo Hold Fan XXXX;
373.610;Cargo Hold Fan XXXX;
373.610.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.610.81;Motor
373.610.91;Starter Panel - Cargo Hold Fan XXXX;
373.611;Cargo Hold Fan XXXX;
373.611.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.611.81;Motor
373.611.91;Starter Panel - Cargo Hold Fan XXXX;
373.612;Cargo Hold Fan XXXX;
373.612.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.612.81;Motor
373.612.91;Starter Panel - Cargo Hold Fan XXXX;
373.613;Cargo Hold Fan XXXX;
373.613.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.613.81;Motor
373.613.91;Starter Panel - Cargo Hold Fan XXXX;
373.614;Cargo Hold Fan XXXX;
373.614.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.614.81;Motor
373.614.91;Starter Panel - Cargo Hold Fan XXXX;
373.615;Cargo Hold Fan XXXX;
373.615.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.615.81;Motor
373.615.91;Starter Panel - Cargo Hold Fan XXXX;
373.616;Cargo Hold Fan XXXX;
373.616.51;Hydraulic Device - Cargo Hold Fan XXXX;
373.616.81;Motor
373.616.91;Starter Panel - Cargo Hold Fan XXXX;
373.618;Cargo Hold Fan XXXX;
373.618.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.618.81;Motor
373.618.91;Starter Panel - Cargo Hold Fan XXXX;
373.626;Cargo Hold Fan XXXX;
373.626.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.626.81;Motor
373.626.91;Starter Panel - Cargo Hold Fan XXXX;
373.627;Cargo Hold Fan XXXX;
373.627.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.627.81;Motor
373.627.91;Starter Panel - Cargo Hold Fan XXXX;
373.640;Cargo Hold Fan XXXX;
373.640.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.640.81;Motor
373.640.91;Starter Panel - Cargo Hold Fan XXXX;
373.643;Cargo Hold Fan XXXX;
373.643.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.643.81;Motor
373.643.91;Starter Panel - Cargo Hold Fan XXXX;
373.650;Cargo Hold Fan XXXX;
373.650.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.650.81;Motor
373.650.91;Starter Panel - Cargo Hold Fan XXXX;
373.651;Cargo Hold Fan XXXX;
373.651.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.651.81;Motor
373.651.91;Starter Panel - Cargo Hold Fan XXXX;
373.662;Cargo Hold Fan XXXX;
373.662.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.662.81;Motor
373.662.91;Starter Panel - Cargo Hold Fan XXXX;
373.663;Cargo Hold Fan XXXX;
373.663.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.663.81;Motor
373.663.91;Starter Panel - Cargo Hold Fan XXXX;
373.665;Cargo Hold Fan XXXX;
373.665.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.665.81;Motor
373.665.91;Starter Panel - Cargo Hold Fan XXXX;
373.666;Cargo Hold Fan XXXX;
373.666.51;Hydraulic Device - Cargo Hold Fan xxxx;
373.666.81;Motor
373.666.91;Starter Panel - Cargo Hold Fan XXXX;
373.801;CARGO HOLD FANS (PORTABLE);
373.801.11;Fan
373.801.12;Fan
373.801.21;Fan
373.801.22;Fan
373.801.31;Fan
373.801.32;Fan
373.801.41;Fan
373.801.42;Fan
373.801.51;Fan
373.801.52;Fan
373.801.61;Fan
373.801.62;Fan
373.801.71;Fan
373.801.72;Fan
373.901;NATUTAL VENTILATION HATCHES;
373.901.01;Natural Ventilation Hatch No 01 - Fwd;
373.901.02;Natural Ventilation Hatch No 02 - Aft;
373.901.03;Natural Ventilation Hatch No 03 - Funnel Area;
373.911;Natural Ventilation Car Decks;
373.921;TUNNEL VENTILATION FANS;
373.921.01;Fan No 01 - Tunnel Ventilation;
373.921.02;Fan No 02 - Tunnel Ventilation;
373.921.03;Fan No 03 - Tunnel Ventilation;
373.921.04;Fan No 04 - Tunnel Ventilation;
373.921.05;Fan No 05 - Tunnel Ventilation;
373.921.06;Fan No 06 - Tunnel Ventilation;
373.931;Ventilation Hatch;
373.941;Ventilation Duct - Car Decks;
373.941.01;Ventilation Duct - Car Deck No 01;
373.941.02;Ventilation Duct - Car Deck No 02;
373.941.03;Ventilation Duct - Car Deck No 03;
373.941.04;Ventilation Duct - Car Deck No 04;
373.941.05;Ventilation Duct - Car Deck No 05;
373.941.06;Ventilation Duct - Car Deck No 06;
373.941.07;Ventilation Duct - Car Deck No 07;
373.941.08;Ventilation Duct - Car Deck No 08;
373.941.09;Ventilation Duct - Car Deck No 09;
373.951;Natural Ventilation Cargo Hold;
373.951.01;Natural Ventilation Cargo Hold No 01;
373.951.02;Natural Ventilation Cargo Hold No 02;
373.951.03;Natural Ventilation Cargo Hold No 03;
373.951.04;Natural Ventilation Cargo Hold No 04;
373.951.05;Natural Ventilation Cargo Hold No 05;
373.951.06;Natural Ventilation Cargo Hold No 06;
373.951.07;Natural Ventilation Cargo Hold No 07;
373.951.08;Natural Ventilation Cargo Hold No 08;
373.951.09;Natural Ventilation Cargo Hold No 09;
374;VENTILATION / GAS FREEING SYSTEMS FOR TANKS
374.001;Fan No 01 Portable Gas Free;
374.001.81;Motor
374.002;Fan No 02 Portable Gas Free;
374.002.81;Motor
374.006;Fan - Water Driven for Cargo Aeration;
374.009;Fan - Cargo Aeration;
374.009.81;Motor
374.011;VENT RISERS;
374.011.01;Vent Riser No 01;
374.011.02;Vent Riser No 02;
374.011.03;Vent Riser No 03;
374.011.04;Vent Riser No 04;
374.021;MAST RISERS;
374.021.01;Mast Riser No 01;
374.021.02;Mast Riser No 02;
374.021.03;Mast Riser No 03;
374.021.04;Mast Riser No 04;
374.031;PORTABLE VENTILATORS;
374.031.01;Ventilator No 01 - Portable Pneumatic;
374.031.02;Ventilator No 02 - Portable Pneumatic;
374.041;COOLER - VENT GAS;
374.041.01;Cooler - Vent Gas No 01;
374.041.02;Cooler - Vent Gas No 02;
374.041.03;Cooler - Vent Gas No 03;
374.101;Nitrogen Bank for Mast Riser;
375;BLOW-OFF SYSTEM FROM SAFETY VALVES (PRESSURE / VACUUM VALVES);
375.001;Ventilation Mast - Blow -Off System;
375.011;PRESSURE VACUUM (PV) VALVES;
375.011.01;Pressure Vacuum (PV) Valve - Cargo Tank No 01;
375.011.02;Pressure Vacuum (PV) Valve - Cargo Tank No 02;
375.011.03;Pressure Vacuum (PV) Valve - Cargo Tank No 03;
375.011.04;Pressure Vacuum (PV) Valve - Cargo Tank No 04;
375.011.05;Pressure Vacuum (PV) Valve - Cargo Tank No 05;
375.011.06;Pressure Vacuum (PV) Valve - Cargo Tank No 06;
375.011.07;Pressure Vacuum (PV) Valve - Cargo Tank No 07;
375.011.08;Pressure Vacuum (PV) Valve - Cargo Tank No 08;
375.021;SAFETY VALVES - CARGO HOLD;
375.021.01;Safety Valve - Cargo Hold No 01;
375.021.02;Safety Valve - Cargo Hold No 02;
375.021.03;Safety Valve - Cargo Hold No 03;
375.021.04;Safety Valve - Cargo Hold No 04;
375.026;SAFETY VALVES - CARGO TANK;
375.026.01;Safety Valve - Cargo Tank No XX;
375.026.02;Safety Valve - Cargo Tank No XX;
375.026.03;Safety Valve - Cargo Tank No XX;
375.026.04;Safety Valve - Cargo Tank No XX;
375.026.05;Safety Valve - Cargo Tank No XX;
375.026.06;Safety Valve - Cargo Tank No XX;
375.026.07;Safety Valve - Cargo Tank No XX;
375.026.08;Safety Valve - Cargo Tank No XX;
375.026.91;Safety Valve - Deck Tank No XX;
375.026.92;Safety Valve - Deck Tank No XX;
375.028;SAFETY VALVES - CARGO PIPE LINES;
375.031;EMERGENCY SAFETY COVERS - CARGO TANK;
375.031.01;Cover
375.031.02;Cover
375.031.03;Cover
375.031.04;Cover
375.036;EMERGENCY SAFETY COVERS - CARGO HOLD;
375.036.01;Cover
375.036.02;Cover
375.036.03;Cover
375.036.04;Cover
376;INERT GAS SYSTEMS WITH CONDITIONING PLANT;
376.001;Inert Gas System (IGS);
376.002;Inert Gas Generator (IGG);
376.002.95;Control Panel - Inert Gas Generator (IGG);
376.006;Burner
376.006.81;Motor
376.008;Pilot Burner
376.011;O2 Analyser - Inert Gas System;
376.016;Dew Point Analyser;
376.018;O2 Content and Dew Point Recorder;
376.021;INERT GAS FANS (AERATION) ;
376.021.01;Inert Gas Fan / Aeration Blower No 01;
376.021.01.81;Motor
376.021.01.95;Control Panel - Inert Gas Fan / Aeration Blower No 01;
376.021.02;Inert Gas Fan / Aeration Blower No 02;
376.021.02.81;Motor
376.031;Blower - Inert Gas Generator (IGG);
376.031.81;Motor
376.031.91;Starter Panel - Inert Gas Generator Blower (IGG);
376.041;Cooler - Inert Gas Generator (IGG);
376.046;Heater - Inert Gas Generator (IGG);
376.051;Pump No 01 - Inert Gas Generator
376.051.81;Motor
376.051.91;Starter Panel - Inert Gas Generator
376.052;Pump No 02 - Inert Gas Generator
376.052.81;Motor
376.052.91;Starter Panel - Inert Gas Generator
376.061;Water Chiller Unit - Inert Gas Generator (IGG);
376.071;Refrigeration Dryer Unit - Inert Gas Generator (IGG);
376.071.11;Fan - Refrigeration Dryer Unit
376.071.11.81;Motor
376.072;Refrigeration Compressor - Inert Gas Generator (IGG);
376.072.81;Motor
376.072.91;Starter Panel - IGG Refrigeration Compressor;
376.072.95;Control Panel - IGG Refrigeration Compressor;
376.073;Pump No 01 - Water Chiller Unit
376.073.81;Motor
376.073.91;Control Panel - Water Chiller Unit Pump No 01
376.074;Pump No 02 - Water Chiller Unit
376.074.81;Motor
376.074.91;Control Panel - Water Chiller Unit Pump No 02
376.075;Refrigeration Condenser - Inert Gas Generator (IGG);
376.078;Heat Exchanger
376.079;Cooler
376.081;Valves
376.092;Tank - Chilled Water
376.096;Deck Water Seal
376.101;Control Panel
376.201;Nitrogen Generator (N2) No 01;
376.201.01;Air Dryer - Nitrogen Generator No 01;
376.201.01.81;Motor
376.201.81;Valves
376.201.91;Control Panel - Nitrogen Generator No 01;
376.202;Nitrogen Generator (N2) No 02;
376.202.01;Air Dryer - Nitrogen Generator No 02;
376.202.01.81;Motor
376.202.81;Valves
376.202.91;Control Panel - Nitrogen Generator No 02;
376.203;Tank
376.211;O2 Analyser - Nitrogen Generator;
376.271;Air Compressor No 01 - Nitrogen Generator;
376.271.81;Motor
376.271.91;Starter Panel - Nitrogen Generator Air Compressor No 01;
376.272;Air Compressor No 02 - Nitrogen Generator;
376.272.81;Motor
376.272.91;Starter Panel - Nitrogen Generator Air Compressor No 02;
38;AUXILIARY SYSTEMS AND EQUIPMENT FOR CARGO;
381;SOUNDING
381.001;Cargo Control Console;
381.002;Cargo Monitoring System;
381.011;Portable Gauging System - Cargo Tanks;
381.012;UTI (Sonic) Tapes;
381.014;Cargo Tank Gauging System;
381.016;Cargo Tank Level Gauging;
381.017;Pressure Monitoring System (Cargo);
381.017.01;Cargo Tank Pressure Gauging;
381.017.11;Cargo Tank Pressure Recorder;
381.018;Temperature Monitoring System (Cargo);
381.018.01;Cargo Tank Temperature Gauging;
381.018.11;Cargo Tank Temperature Recorder;
381.018.21;Reference Thermometer (Cargo);
381.021;Portable Oxygen Meter;
381.022;Liquid Level Indicator - Cargo;
381.031;Cargo Sampling Unit;
381.032;Tank Overfill Alarm System;
381.033;Gas Detection System;
381.033.01;Gas Detection System (Cargo);
381.033.01.95;Control Panel - Gas Detection System (Cargo);
381.033.01.96;Repeater Panel - Gas Detection System (Cargo);
381.033.02;Gas Detection System (Accommodation);
381.033.11;Pump No 01 - Gas Detection System;
381.033.12;Pump No 02 - Gas Detection System;
381.033.21;Gas Alarm Meter
381.033.26;Gas Alarm Meter
381.051;Valves Remote Control System - Cargo;
381.051.01;Pump
381.051.01.81;Motor
381.051.01.91;Starter Panel - Cargo Valves Hydraulic Pump No 01;
381.051.02;Pump
381.051.02.81;Motor
381.051.02.91;Starter Panel - Cargo Valves Hydraulic Pump No 02;
381.051.11;Accumulator - Cargo Valves Remote Control System;
381.051.21;Hand Pump - Valves Remote Control System;x
381.051.51;Tank
381.071;Instrument Panel - Cargo;
381.081;Valves
381.082;Eductor - Log/Sounding Tank;
381.083;Barrier Panel (Intrinsically Safe);
381.084;Hydrometer;
381.102;Surveillance System;
382;TANK CLEANING SYSTEMS AND EQUIPMENT;
382.001;Tank Cleaning Machine - Fixed Type;
382.002;Tank Cleaning Machine Portable Type;
382.011;Pump - Tank Cleaning;
382.011.95;Control Panel - Tank Cleaning Pump;
382.021;Turbine - Tank Cleaning Pump;
382.021.22;Pump - Main Lube Oil
382.021.23;Pump - Priming Lube Oil
382.021.24;Governor - Tank Cleaning Pump Turbine;
382.021.25;Cooler - Lube Oil
382.051;Oil Discharge Monitoring System (ODME);
382.052;Pump - ODME Sampling;
382.052.81;Motor
382.053;Pump - Window Wash;
382.081;Valves
383;LIFTING GEAR FOR CARGO HOSES;
383.001;Hose Handling Crane;
383.001.11;Hoisting Device - Hose Handling Crane;
383.001.11.71;Motor
383.001.12;Slewing Device - Hose Handling Crane;
383.001.12.71;Motor
383.001.14;Luffing Device - Hose Handling Crane;
383.001.81;Motor
383.001.91;Starter Panel - Hose Handling Crane;
383.001.95;Control Panel - Hose Handling Crane;
383.101;Hydraulic Power Unit - Hose Handling Crane;
383.101.01;Pump
383.101.01.81;Motor
383.201.01;Hand Pump
384;SEPARATE COOLING WATER SYSTEMS FOR CARGO EQUIPMENT;
384.001;RELIQUEFACTION COOLING FRESH WATER PUMP UNIT;
384.001.01;Pump No 01 - Reliquefaction Unit Cooling Fresh Water;
384.001.01.81;Motor
384.001.01.91;Starter Panel - Reliquefaction Unit Cooling Fresh Water Pump No 01;
384.001.02;Pump No 02 - Reliquefaction Unit Cooling Fresh Water;
384.001.02.81;Motor
384.001.02.91;Starter Panel - Reliquefaction Unit Cooling Fresh Water Pump No 02;
384.101;RELIQUEFACTION COOLING SEA WATER PUMP UNIT;
384.101.01;Pump No 01 - Reliquefaction Unit Cooling Sea Water;
384.101.01.81;Motor
384.101.01.91;Starter Panel - Reliquefaction Unit Cooling Sea Water Pump No 01;
384.101.02;Pump No 02 - Reliquefaction Unit Cooling Sea Water;
384.101.02.81;Motor
384.101.02.91;Starter Panel - Reliquefaction Unit Cooling Sea Water Pump No 02;
384.201;Cooler
384.501;GLYCOL COOLING WATER SYSTEM;
384.501.01;Pump No 01 - Glycol Cooling Water;
384.501.01.81;Motor
384.501.01.91;Starter Panel - Glycol Cooling Water Pump No 01;
384.501.02;Pump No 02 - Glycol Cooling Water;
384.501.02.81;Motor
384.501.02.91;Starter Panel - Glycol Cooling Water Pump No 02;
384.501.11;Pump No 01 - Cargo Cooling Sea Water;x
384.501.11.81;Motor
384.501.11.91;Starter Panel - Cargo Cooling Sea Water Pump No 01;
384.501.12;Pump No 02 - Cargo Cooling Sea Water;x
384.501.12.81;Motor
384.501.12.91;Starter Panel - Cargo Cooling Sea Water Pump No 02;
384.501.13;Pump No 03 - Cargo Cooling Sea Water;x
384.501.13.81;Motor
384.501.13.91;Starter Panel - Cargo Cooling Sea Water Pump No 03;
384.501.21;COOLERS - GLYCOL COOLING WATER;
384.501.21.01;Cooler No 01 - Glycol Cooling Water;
384.501.21.02;Cooler No 02 - Glycol Cooling Water;
384.501.26;HEATERS - GLYCOL TANK;
384.501.26.01;Heater No 01
384.501.26.02;Heater No 02
384.501.31;Filter - Cargo Cooling Sea Water;
384.501.31.91;Control Panel - Cargo Cooling Sea Water Filter;
384.501.51;Tank - Glycol Expansion;
384.501.56;Tank - Glycol Heater;
386;EQUIPMENT FOR ADDITION OF PRESERVATIVES
386.001;Pump No 01 - Ethanol;
386.002;Pump No 02 - Ethanol;
386.051;Pump
386.101;Tank - Methanol Storage;
386.101.81;PV Valve - Methanol Storage Tank;
5;CREW AND PASSENGER EQUIPMENT;
50;LIFESAVING
501;LIFEBOATS WITH EQUIPMENT;
501.001;Rescue Boat;
501.001.31;Engine - Rescue Boat;
501.001.51;Pyrotechnics - Rescue Boat;
501.001.61;Ladder - Rescue Boat;
501.001.71;Water Jet Unit - Rescue Boat;
501.002;Free fall Life Boat;
501.002.31;Engine - Free Fall Life Boat;
501.002.51;Pyrotechnics - Free Fall Life Boat;
501.002.61;Ladder - Free Fall Life Boat;
501.011;Life Boat;
501.011.31;Engine - Life Boat;
501.011.51;Pyrotechnics - Life Boat;
501.011.61;Ladder - Life Boat;
501.021;MOB Boat;
501.021.31;Engine - MOB Boat;
501.051;RESCUE BOAT DAVIT AND WINCH;
501.051.01;Davit - Rescue Boat;
501.051.11;Davit - Rescue Boat and Life raft;
501.051.31;Winch - Rescue Boat Davit;
501.051.31.61;Motor
501.051.31.71;Motor
501.051.31.81;Motor
501.051.31.82;Motor
501.051.91;Starter Panel - Rescue Boat Winch;
501.051.95;Control Panel - Rescue Boat Winch;
501.052;Hydraulic Power Unit - Rescue Boat Davit;
501.052.01;Pump
501.052.01.81;Motor
501.052.81;Motor
501.052.95;Control Panel - Rescue Boat Davit HPU;
501.061;LIFE BOAT DAVIT AND WINCH;
501.061.01;Davit - Life Boat;
501.061.11;Davit - Life Boat and Life Raft;
501.061.21;Davit - Life Boat (Free fall);
501.061.31;Winch - Life Boat Davit;
501.061.31.61;Motor
501.061.31.71;Motor
501.061.31.81;Motor
501.061.32;Winch - Life Boat Davit (Luffing);
501.061.32.81;Motor
501.061.91;Starter Panel - Life Boat Winch;
501.061.95;Control Panel - Life Boat Winch;
501.062;Hydraulic Power Unit - Life Boat Davit;
501.062.01;Pump
501.062.01.81;Motor
501.062.81;Motor
501.062.95;Control Panel - Life Boat Davit HPU;
501.100;Medicines - Life boat;
501.101;Medicines - Rescue boat;
502;LIFE RAFTS WITH EQUIPMENT;
502.001;Life raft No 01;
502.001.06;Life raft No 01 - 06 Person;
502.001.15;Life raft No 01 - 15 Person;
502.001.16;Life raft No 01 - 16 Person;
502.001.20;Life raft No 01 - 20 Person;
502.001.25;Life raft No 01 - 25 Person;
502.001.30;Life raft No 01 - 30 Person;
502.002;Life raft No 02;
502.002.06;Life raft No 02 - 06 Person;
502.002.10;Life raft No 02 - 10 Person;
502.002.15;Life raft No 02 - 15 Person;
502.002.16;Life raft No 02 - 16 Person;
502.002.20;Life raft No 02 - 20 Person;
502.002.25;Life raft No 02 - 25 Person;
502.003;Life raft No 03;
502.003.06;Life raft No 03 - 06 Person;
502.003.15;Life raft No 03 - 15 Person;
502.003.16;Life raft No 03 - 16 Person;
502.003.20;Life raft No 03 - 20 Person;
502.004;Life raft No 04;
502.004.06;Life raft No 04 - 06 Person;
502.004.15;Life raft No 04 - 15 Person;
502.004.16;Life raft No 04 - 16 Person;
502.004.20;Life raft No 04 - 20 Person;
502.005;Life raft No 05;
502.005.06;Life raft No 05 - 06 Person;
502.005.15;Life raft No 05 - 15 Person;
502.005.16;Life raft No 05 - 16 Person;
502.005.20;Life raft No 05 - 20 Person;
502.005.25;Life raft No 05 - 25 Person;
502.006;Life raft No 06;
502.006.06;Life raft No 06 - 06 Person;
502.006.10;Life raft No 06 - 10 Person;
502.006.15;Life raft No 06 - 15 Person;
502.006.16;Life raft No 06 - 16 Person;
502.006.20;Life raft No 06 - 20 Person;
502.006.25;Life raft No 06 - 25 Person;
502.021;LIFE RAFT EMBARKATION LADDERS;
502.021.01;Life raft Embarkation Ladder Stbd;
502.021.02;Life raft Embarkation Ladder Port;
502.021.03;Life raft Embarkation Ladder Fwd;
502.021.04;Life raft Embarkation Ladder Aft;
502.051;Davit - Life raft Stbd;
502.051.01;Hoisting Winch - Life raft Stbd;
502.051.01.81;Motor
502.051.02;Slewing Winch - Life raft Stbd;
502.051.02.81;Motor
502.061;Davit - Life raft Port;
502.061.01;Hoisting Winch - Life raft Port;
502.061.01.81;Motor
502.061.02;Slewing Winch - Life raft Port;
502.061.02.81;Motor
503;LIFESAVING
503.001;Life Saving Appliances (LSA);
503.002;LIFEBUOYS;
503.002.01;Lifebuoy;
503.002.11;Lifebuoy with Self Igniting Light;
503.002.21;Lifebuoy with Light and Smoke Signal;
503.002.31;Lifebuoy with Life Line;
503.002.41;Lifebuoy with Man overboard (MOB);
503.003;Life Jacket;
503.003.01;Life Jacket
503.003.02;Life Jacket
503.003.03;Life Jacket
503.004;PYROTECHNICS;
503.004.01;Rocket Parachute Signal;
503.004.02;Hand Flare
503.004.03;Line Throwing Apparatus;
503.004.04;Smoke Signal
503.005;Immersion Suit;
503.036;Safety Harness;
503.101;Muster Plans
503.102;Emergency Lighting - Survival Craft;
503.103;Low Location Lighting;
504;MEDICAL
504.001;First Aid Equipment;
504.002;Medical Locker;
504.003;Medicines;
504.004;Stretchers;
504.005;Medical Equipment;
504.005.01;Portable Oxygen Resuscitator;
504.005.02;Fixed Oxygen Resuscitator;
504.005.03;Portable Oxygen Resuscitator No 02;
504.005.06;Respirator;
504.005.11;Oxygen Cylinders - O2 Resuscitator;
504.005.21;Immobilization Equipment;
504.005.26;Fire Blanket (Water Jel);
504.005.31;Defibrillator;
504.025;Emergency Eye Wash Station;
504.031;Emergency Shower;
505;LOOSE FIRE FIGHTING APPARATUSES AND EQUIPMENT
505.001;Fire Fighting Appliances (FFA);
505.002;PORTABLE FIRE EXTINGUISHERS;
505.002.01;Fire Extinguisher - Dry Powder
505.002.02;Fire Extinguisher - Dry Powder
505.002.03;Fire Extinguisher - Dry Powder
505.002.04;Fire Extinguisher - Dry Powder
505.002.05;Fire Extinguisher - Dry Powder
505.002.06;Fire Extinguisher - Dry Powder
505.002.11;Fire Extinguisher - Dry Powder
505.002.12;Fire Extinguisher - Dry Powder
505.002.16;Fire Extinguisher - Dry Powder
505.002.21;Fire Extinguisher - CO2
505.002.22;Fire Extinguisher - CO2
505.002.23;Fire Extinguisher - CO2
505.002.31;Fire Extinguisher - Foam
505.002.32;Fire Extinguisher - Foam
505.002.33;Fire Extinguisher - Foam
505.002.41;Fire Extinguisher - Wet Chemical
505.004;FOAM APPLICATOR;
505.004.01;Foam Applicator Portable;
505.004.02;Foam Applicator - <Weight>;
505.004.03;Foam Applicator - <Weight>;
505.005;Fire Hoses
505.006;International Shore Connection;
505.007;Automated Self-Activated Fire Extinguisher;
505.008;Fire Extinguisher - Water
505.011;Self-Contained Breathing Apparatus (SCBA);
505.011.51;Air Bottle - Self-Contained Breathing Apparatus (SCBA);
505.012;Breathing Air Compressor No 01;
505.012.81;Motor
505.013;Breathing Air Compressor No 02;
505.013.81;Motor
505.014;Fireman Outfit;
505.015;Emergency Escape Breathing Device (EEBD);
505.017;Chemical suit;
505.018;Fire Blanket;
505.019;Thermal Protective Suit;
505.020;Water Gel Blanket;
505.026;Smoke Diving Equipment;
